year,section,question_number,question_text,question_type,marks,difficulty_label,topic,answer_text
2016,Section A (C++),1a,Out of the following find those identifiers which cannot be used for naming Variable Constants or Functions in C++: Total*Tax double Case My Name NeW switch Column31 _Amount,Short Answer,2,medium,C++ Identifiers,Total*Tax (special char *) double (reserved keyword) My Name (contains space) switch (reserved keyword)
2016,Section A (C++),1b,Write the names of header files required to be included in: void main(){double X Times Result; cin>>X>>Times; Result=pow(X Times); cout<<Result<<endl;},Very Short Answer,1,easy,C++ Header Files,iostream.h (or iomanip.h) for cin/cout; math.h (or complex.h) for pow()
2016,Section A (C++),1c,Rewrite C++ code removing syntactical errors: #define Formula(a b) = 2*a+b  void main(){float X=3.2;Y=4.1; Z=Formula(X Y); cout<<Result=<<Z<<endl;},Short Answer,2,medium,C++ Syntax,"#define Formula(a b) 2*a+b; float X=3.2 Y=4.1; float Z=Formula(X Y); cout<<""Result=""<<Z<<endl"
2016,Section A (C++),1d,"Find output of C++ program: TEXT Str=""HARMONIOUS""; JumbleUp(Str); cout<<Str<<endl; where JumbleUp swaps adjacent chars then replaces odd-position chars between M-U with @",Short Answer,2,medium,C++ Arrays and Strings,AHM@N@OIS@
2016,Section A (C++),1e,Find output: Share S T U; S.GetCode(1324 350); T.GetCode(1435 250); S.Update(50 28); U.Update(-25 26); S.Status(); T.Status(); U.Status();,Long Answer,3,hard,C++ Classes and Objects,"Date:28
1324#400
Date:1
1435#250
Date:26
1000#75"
2016,Section A (C++),1f,Find possible outputs and max/min PICKER: PICKER=1+random(3); COLOR={BLUE PINK GREEN RED}; nested loop printing COLOR[J] for J 0 to I,Short Answer,2,medium,C++ Loops and Arrays,Options (ii) and (iv) are possible. Min PICKER=1 Max PICKER=3
2016,Section A (C++),2a,Write any four important characteristics of Object Oriented Programming. Give example of any one using C++.,Short Answer,2,medium,OOP Concepts,1.Encapsulation 2.Data Hiding 3.Polymorphism 4.Inheritance. Example: class student{int rno; char name[20]; public: void input(){cin>>rno; gets(name);}}
2016,Section A (C++),2b(i),Which OOP concept is illustrated by default constructor BOOK() and parameterized constructor BOOK(int C char T[] float P) combined together?,Very Short Answer,1,easy,OOP - Polymorphism,Polymorphism (Constructor Overloading)
2016,Section A (C++),2b(ii),How many times will Book Discarded! be displayed? Which line is responsible?,Very Short Answer,1,easy,C++ Destructors,2 times. Line 9 (closing brace of main)
2016,Section A (C++),2c,Write class CITY in C++ with private: Ccode CName Pop KM Density DenCal(); public: Record() View() (shows Highly Populated City if Density>10000),Long Answer,4,hard,C++ Classes and Objects,"class CITY{int Ccode; char CName[20]; long int Pop; float KM Density; void DenCal(); public: void Record(); void View();}; void CITY::DenCal(){Density=Pop/KM;} void CITY::Record(){cin>>Ccode; gets(CName); cin>>Pop>>KM; DenCal();} void CITY::View(){cout<<Ccode<<CName<<Pop<<KM<<Density; if(Density>10000)cout<<""Highly Populated City"";}"
2016,Section A (C++),2d(i),Which type of inheritance is shown: class SALEPOINT : public ITEM private TRADER?,Very Short Answer,1,easy,C++ Inheritance,Multiple Inheritance
2016,Section A (C++),2d(ii),Write all data members directly accessible from member functions of class SALEPOINT.,Very Short Answer,1,easy,C++ Inheritance,Name Location Manager Qty
2016,Section A (C++),2d(iii),Write all member functions directly accessible by an object of class SALEPOINT.,Very Short Answer,1,easy,C++ Inheritance,EnterAll() ViewAll() Enter() View()
2016,Section A (C++),2d(iv),What is the order of constructor execution when SALEPOINT object is declared?,Very Short Answer,1,easy,C++ Inheritance,1.ITEM() 2.TRADER() 3.SALEPOINT()
2016,Section A (C++),3a,Write FixSalary(float Salary[] int N) to modify: <100000 add 35% >=100000 and <200000 add 30% >=200000 add 20%,Short Answer,2,medium,C++ Functions and Arrays,void FixSalary(float Salary[] int N){for(int i=0;i<N;i++){if(Salary[i]<100000) Salary[i]+=0.35*Salary[i]; else if(Salary[i]<200000) Salary[i]+=0.3*Salary[i]; else Salary[i]+=0.20*Salary[i];}}
2016,Section A (C++),3b,R[10][50] row-major 8 bytes/element. Find address of R[5][15] given R[8][10] is at 45000.,Short Answer,3,medium,Arrays - Memory Allocation,BaseAddress=41720. LOC(R[5][15])=41720+8*(5*50+15)=41720+2120=43840
2016,Section A (C++),3c,Write DELETE() for class QUEUE to remove a product from dynamically allocated Queue.,Long Answer,4,hard,C++ Linked List and Queue,"void QUEUE::DELETE(){if(F!=NULL){PRODUCT *T=F; cout<<T->PID<<T->PNAME; F=F->Next; delete T; if(F==NULL) R=NULL;} else cout<<""Queue Empty"";}"
2016,Section A (C++),3d,Write DISPMID(int A[][5] int R int C) to display elements of middle row and middle column.,Short Answer,3,medium,C++ 2D Arrays,"void DISPMID(int A[][5] int R int C){for(int J=0;J<C;J++) cout<<A[R/2][J]<<"" ""; cout<<endl; for(int I=0;I<R;I++) cout<<A[I][C/2]<<"" "";}"
2016,Section A (C++),3e,Convert Infix to Postfix showing stack contents: P/(Q-R)*S+T,Short Answer,2,medium,Data Structures - Stack,Postfix: PQR-/S*T+
2016,Section A (C++),4a,Write DISP3CHAR() to read KIDINME.TXT and display all words with exactly 3 characters.,Short Answer,2,medium,C++ File Handling,"void DISP3CHAR(){ifstream Fil; Fil.open(""KIDINME.TXT""); char W[20]; Fil>>W; while(!Fil.eof()){if(strlen(W)==3) cout<<W<<"" ""; Fil>>W;} Fil.close();}"
2016,Section A (C++),4b,Write ONOFFER() to read binary file TOYS.DAT and display toys with Status=ON OFFER.,Short Answer,3,medium,C++ Binary File Handling,"void ONOFFER(){TOYS T; ifstream fin; fin.open(""TOYS.DAT"" ios::binary); while(fin.read((char*)&T sizeof(T))){if(strcmp(T.SeeOffer() ""ON OFFER"")==0) T.View();} fin.close();}"
2016,Section A (C++),4c,Find output of code reading CLIENT.DAT: after 1 read cout tellg/sizeof; after 2 more reads cout tellg/sizeof,Very Short Answer,1,easy,C++ File Handling,"Rec:1
Rec:3"
2016,Section B (Python),1a,Find identifiers that cannot be used in Python: Total*Tax While class switch 3rdRow finally Column31 _Total,Short Answer,2,medium,Python Identifiers,Total*Tax (special char *) class (keyword) 3rdRow (starts with digit) finally (keyword)
