year,section,question_number,question_text,question_type,marks,difficulty_label,topic,answer_text
2023,Section A,1,State True or False: Identifiers are names used to identify a variable or function in a program.,Very Short Answer,1,easy,Python,True
2023,Section A,2,"Which of the following is a valid keyword in Python? (a) false (b) return (c) non_local (d) none",MCQ,1,easy,Python,(b) return
2023,Section A,3,"Given Tup=(10,20,30,50). Which statement will result in an error? (a) print(Tup[0]) (b) Tup.insert(2,3) (c) print(Tup[1:2]) (d) print(len(Tup))",MCQ,1,easy,Python,(b) Tup.insert(2,3)
2023,Section A,4,"Consider: 5<10 and 12>7 or not 7>4. Which is the correct output? (a) True (b) False (c) NONE (d) NULL",MCQ,1,easy,Python,(a) True
2023,Section A,5,"Select the correct output of: S='Amrit Mahotsav @ 75'; A=S.partition(' '); print(A). (a) ('Amrit Mahotsav','@','75') (b) ['Amrit','Mahotsav','@','75'] (c) ('Amrit','Mahotsav @ 75') (d) ('Amrit','','Mahotsav @ 75')",MCQ,1,easy,Python,"(d) ('Amrit', '', 'Mahotsav @ 75')"
2023,Section A,6,"Which of the following mode keeps the file offset position at the end of the file? (a) r+ (b) r (c) w (d) a",MCQ,1,easy,File Handling,(d) a
2023,Section A,7,"Which function is used to arrange the elements of a list in ascending order? (a) sort() (b) arrange() (c) ascending() (d) asort()",MCQ,1,easy,Python,(a) sort()
2023,Section A,8,"Which of the following operators will return either True or False? (a) += (b) != (c) = (d) *=",MCQ,1,easy,Python,(b) !=
2023,Section A,9,"Which statement(s) give an error: Stud={'Murugan':100,'Mithu':95}; print(Stud[95]); Stud['Murugan']=99; print(Stud.pop()); print(Stud). (a) Statement 2 (b) Statement 3 (c) Statement 4 (d) Statements 2 and 4",MCQ,1,easy,Python,(d) Statements 2 and 4
2023,Section A,10,"_____ is a number of tuples in a relation. (a) Attribute (b) Degree (c) Domain (d) Cardinality",MCQ,1,easy,SQL,(d) Cardinality
2023,Section A,11,"The syntax of seek() is file_object.seek(offset[,reference_point]). What is the default value of reference_point? (a) 0 (b) 1 (c) 2 (d) 3",MCQ,1,easy,File Handling,(a) 0
2023,Section A,12,"______ clause is used with SELECT to display data in sorted form. (a) WHERE (b) ORDER BY (c) HAVING (d) DISTINCT",MCQ,1,easy,SQL,(b) ORDER BY
2023,Section A,13,"______ is used for point-to-point communication such as radar and satellite. (a) INFRARED WAVES (b) BLUETOOTH (c) MICROWAVES (d) RADIOWAVES",MCQ,1,easy,Networking,(c) MICROWAVES
2023,Section A,14,"What will print(4+3*5/3-5%2) evaluate to? (a) 8.5 (b) 8.0 (c) 10.2 (d) 10.0",MCQ,1,easy,Python,(b) 8.0
2023,Section A,15,"Which function returns the sum of all elements of a list? (a) count() (b) sum() (c) total() (d) add()",MCQ,1,easy,Python,(b) sum()
2023,Section A,16,"fetchall() method fetches all rows in a result set and returns a: (a) Tuple of lists (b) List of tuples (c) List of strings (d) Tuple of strings",MCQ,1,easy,Python - Database Connectivity,(b) List of tuples
2023,Section A,17,"Assertion (A): To use a function from a particular module we need to import the module. Reason (R): import statement can be written anywhere in the program before using a function from that module.",MCQ,1,easy,Python,(b) Both A and R are true and R is not the correct explanation for A
2023,Section A,18,"Assertion (A): A stack is a LIFO structure. Reason (R): Any new element pushed into the stack always gets positioned at the index after the last existing element in the stack.",MCQ,1,easy,Python - Data Structures,(c) A is true but R is false
2023,Section B,19,"Rewrite correct code after removing syntactical errors. Underline corrections: def max_num(L): max=L(0); for a in L: if a > max; max=a; return max",Short Answer,2,medium,Python,"def max_num(L): max=L[0]; for a in L: if a > max: max=a; return max"
2023,Section B,20a,Differentiate between wired and wireless transmission.,Short Answer,2,medium,Networking,"Wired: physical link made of wire/cable through which data travels as signals such as metallic cable or fiber-optic. Wireless: data travels in air as electromagnetic waves using antenna such as bluetooth microwaves infrared radio waves."
2023,Section B,20b,Differentiate between URL and domain name with appropriate example.,Short Answer,2,medium,Networking,"URL is complete internet address of a webpage. Domain name is name of organisation with top-level internet domains. Example: URL: https://www.ncert.nic.in/textbook/textbook.htm; Domain Name: ncert.nic.in"
2023,Section B,21a,"Given Listofnames=['Aman','Ankit','Ashish','Rajan','Rajat']. Write output of: print(Listofnames[-1:-4:-1])",Very Short Answer,1,medium,Python,"['Rajat', 'Rajan', 'Ashish']"
2023,Section B,21b,"Consider tup1=(10,20,30,(10,20,30),40). Write output of: print(tup1.index(20))",Very Short Answer,1,medium,Python,1
2023,Section B,22,Explain the concept of Alternate Key in RDBMS with appropriate example.,Short Answer,2,medium,SQL,"Alternate Keys are all Candidate Keys of a table not used as Primary Key. Example: If table has both RegNo and AadhaarNo as unique columns and RegNo is chosen as Primary Key then AadhaarNo becomes the Alternate Key."
2023,Section B,23a-i,Write the full form of HTML.,Very Short Answer,1,medium,Networking,HTML: Hyper Text Markup Language
2023,Section B,23a-ii,Write the full form of TCP.,Very Short Answer,1,medium,Networking,TCP: Transmission Control Protocol
2023,Section B,23b,What is the need of Protocols?,Very Short Answer,1,medium,Networking,Protocols are needed for communication between computers to ensure successful and reliable data transmission over a network.
2023,Section B,24a,"Write output of: def short_sub(lst,n): for i in range(0,n): if len(lst)>4: lst[i]=lst[i]+lst[i] else: lst[i]=lst[i]; subject=['CS','HINDI','PHYSICS','CHEMISTRY','MATHS']; short_sub(subject,5); print(subject)",Short Answer,2,medium,Python,"['CSCS', 'HINDIHINDI', 'PHYSICSPHYSICS', 'CHEMISTRYCHEMISTRY', 'MATHSMATHS']"
2023,Section B,24b,"Write output of: a=30; def call(x): global a; if a%2==0: x+=a; else: x-=a; return x; x=20; print(call(35),end='#'); print(call(40),end='@')",Short Answer,2,medium,Python,65#70@
2023,Section B,25a,Differentiate between CHAR and VARCHAR data types in SQL with appropriate example.,Short Answer,2,medium,SQL,"CHAR is fixed length character type: CHAR(10) always reserves 10 character spaces padding with spaces if shorter. VARCHAR is variable-length: VARCHAR(30) allows max 30 but only uses actual storage needed. Example: 'CITY' in CHAR(20) uses 20 bytes but in VARCHAR(20) uses only 5 bytes."
2023,Section B,25b,Name any two DDL and any two DML commands.,Very Short Answer,2,medium,SQL,"DDL: CREATE and ALTER; DML: INSERT and UPDATE"
2023,Section C,26a,"Consider tables LOAN (LOAN_NO B_NAME AMOUNT) and BORROWER (CUST_NAME LOAN_NO). How many rows and columns in the natural join?",Short Answer,1,medium,SQL,Rows: 2; Columns: 4
2023,Section C,26b-i,"Write output of: SELECT F_NAME, CITY FROM WORKER ORDER BY STATE DESC;",Short Answer,1,medium,SQL,"SAHIL KANPUR; VEDA KANPUR; SAMEER ROOP NAGAR; MAHIR SONIPAT; MARY DELHI; ATHARVA DELHI"
