year,section,question_number,question_text,question_type,marks,difficulty_label,topic,answer_text
2024,Section A,1,State True or False: While defining a function in Python the positional parameters in the function header must always be written after the default parameters.,Very Short Answer,1,easy,Python,False
2024,Section A,2,"The SELECT statement when combined with ___ clause returns records without repetition. (a) DISTINCT (b) DESCRIBE (c) UNIQUE (d) NULL",MCQ,1,easy,SQL,(a) DISTINCT
2024,Section A,3,"What will be the output of the following statement: print(16*5/4*2/5-8) (a) -3.33 (b) 6.0 (c) 0.0 (d) -13.33",MCQ,1,easy,Python,(c) 0.0
2024,Section A,4,"What possible output is expected when the following Python code is executed? import random; Signal=['RED','YELLOW','GREEN']; for K in range(2,0,-1): R=random.randrange(K); print(Signal[R],end='#') (a) YELLOW#RED# (b) RED#GREEN# (c) GREEN#RED# (d) YELLOW#GREEN#",MCQ,1,easy,Python,(a) YELLOW#RED#
2024,Section A,5,"In SQL the aggregate function which will display the cardinality of the table is ___. (a) sum() (b) count(*) (c) avg() (d) sum(*)",MCQ,1,easy,SQL,(b) count(*)
2024,Section A,6,"Which protocol is used to send and receive emails over a computer network? (a) PPP (b) HTTP (c) FTP (d) SMTP",MCQ,1,easy,Networking,(d) SMTP
2024,Section A,7,"Identify the invalid Python statement: (a) d=dict() (b) e={} (c) f=[] (d) g=dict{}",MCQ,1,easy,Python,(d) g=dict{}
2024,Section A,8,"Consider: myStr='MISSISSIPPI'; print(myStr[:4]+'#'+myStr[-5:]) (a) MISSI#SIPPI (b) MISS#SIPPI (c) MISS#IPPIS (d) MISSI#IPPIS",MCQ,1,easy,Python,(b) MISS#SIPPI
2024,Section A,9,"Identify the statement which will raise an error: (a) print('A'*3) (b) print(5*3) (c) print('15'+3) (d) print('15'+'13')",MCQ,1,easy,Python,"(c) print(""15""+3)"
2024,Section A,10,"Select the correct output of: event='G20 Presidency@2023'; L=event.split(' '); print(L[::-2]) (a) 'G20' (b) ['Presidency@2023'] (c) ['G20'] (d) 'Presidency@2023'",MCQ,1,easy,Python,(b) ['Presidency@2023']
2024,Section A,11,"Which of the following is the correct unit of measurement for network bandwidth? (a) KB (b) Bit (c) Hz (d) Km",MCQ,1,easy,Networking,(c) Hz
2024,Section A,12,"Observe the Python code: a=20; def convert(a): b=20; a=a+b; convert(10); print(a). Select correct output: (a) 10 (b) 20 (c) 30 (d) Error",MCQ,1,easy,Python,(b) 20
2024,Section A,13,State True or False: While handling exceptions in Python name of the exception has to be compulsorily added with except clause.,Very Short Answer,1,easy,Python,False
2024,Section A,14,"Which of the following is not a DDL command in SQL? (a) DROP (b) CREATE (c) UPDATE (d) ALTER",MCQ,1,easy,SQL,(c) UPDATE
2024,Section A,15,Fill in the blank: ___________ is a set of rules that needs to be followed by the communicating parties in order to have a successful and reliable data communication over a network.,Very Short Answer,1,easy,Networking,Protocol
2024,Section A,16,"Consider F=open('CONTENT.TXT'). Which of the following is an invalid statement? (a) F.seek(1,0) (b) F.seek(0,1) (c) F.seek(0,-1) (d) F.seek(0,2)",MCQ,1,easy,File Handling,"(c) F.seek(0,-1)"
2024,Section A,17,"Assertion (A): CSV file is a human readable text file where each line has fields separated by comma or some delimiter. Reason (R): writerow() method is used to write a single row in a CSV file.",MCQ,1,easy,File Handling,(b) Both A and R are true and R is not the correct explanation for A
2024,Section A,18,"Assertion (A): The expression 'Hello'.sort() in Python will give an error. Reason (R): sort() does not exist as a method/function for strings in Python.",MCQ,1,easy,Python,(a) Both A and R are true and R is the correct explanation for A
2024,Section B,19A-i,Expand the following terms: XML and PPP.,Very Short Answer,1,medium,Networking,XML: eXtensible Markup Language; PPP: Point-to-Point Protocol
2024,Section B,19A-ii,Give one difference between circuit switching and packet switching.,Short Answer,1,medium,Networking,"Circuit Switching: A dedicated path is established between sender and receiver before transmission; entire data is sent in one go. Packet Switching: Data is divided into small packets transmitted via nearest service provider till all packets reach recipient where they are reassembled."
2024,Section B,19B-i,Define the term web hosting.,Very Short Answer,1,medium,Networking,Web hosting is a service that allows users to put a website or a webpage onto the internet and make it a part of the World Wide Web.
2024,Section B,19B-ii,Name any two web browsers.,Very Short Answer,1,medium,Networking,"Google Chrome, Mozilla Firefox"
2024,Section B,20,"Observe the following code carefully and rewrite it after removing all syntax and logical errors. Underline all corrections made. def EvenOdd() for i in range(5): num=int(input('Enter a number') if num/2==0: print('Even') else: print('Odd') EvenOdd()",Short Answer,2,medium,Python,"def EvenOdd(): for i in range(5): num=int(input('Enter a number')) if num%2==0: print('Even') else: print('Odd') EvenOdd()"
2024,Section B,21A,"Write a user defined function showGrades(S) which takes dictionary S as argument containing Name:[Eng,Math,Science] as key:value pairs. Displays grade: Average>=90 is A; >=60 is B; <60 is C.",Short Answer,2,medium,Python,"def showGrades(S): for K,V in S.items(): if sum(V)/3>=90: Grade='A' elif sum(V)/3>=60: Grade='B' else: Grade='C'; print(K,'-',Grade)"
2024,Section B,21B,"Write a user defined function Puzzle(W,N) which takes English word W and integer N and returns the string where every Nth alphabet is replaced with underscore. E.g. TELEVISION with N=3 returns TE_EV_SI_N.",Short Answer,2,medium,Python,"def Puzzle(W,N): NW=''; Count=1; for Ch in W: if Count!=N: NW+=Ch; Count+=1 else: NW+='_'; Count=1; return NW"
2024,Section B,22,"Write the output displayed on execution of: LS=['HIMALAYA','NILGIRI','ALASKA','ALPS']; D={}; for S in LS: if len(S)%4==0: D[S]=len(S); for K in D: print(K,D[K],sep='#')",Short Answer,2,medium,Python,"HIMALAYA#8\nALPS#4"
2024,Section B,23A-i,"Write Python statement to remove the item whose key is 'NISHA' from dictionary Students containing {'ANITA':90,'NISHA':76,'ASHA':92}.",Very Short Answer,1,medium,Python,Students.pop("NISHA")
